player_name,pitch_type,avg_stuff_plus,pitch_count,total_stuff_plus,total_pitches
"deGrom, Jacob",FF,117.82253449651256,59,117.82253449651256,59
"Miller, Bobby",SI,115.1844635845438,56,115.1844635845438,56
"Scherzer, Max",FF,113.03623903954299,86,113.03623903954299,86
"Strider, Spencer",FF,112.40951382390172,53,112.40951382390173,53
"Hader, Josh",SI,112.00850293479121,54,112.0085029347912,54
"Winn, Keaton",FS,111.86570889187395,57,111.86570889187395,57
"Hicks, Jordan",SI,111.66983055678527,83,111.66983055678527,83
"Vesia, Alex",FF,111.58399080194076,102,111.58399080194076,102
"Cease, Dylan",FF,108.55931537213368,118,109.84422397229848,245
"Cease, Dylan",SL,111.03807605749095,127,109.84422397229848,245
"Bickford, Phil",FF,109.66599477645082,108,109.6659947764508,108
"Kimbrel, Craig",FF,108.85881640777144,72,108.85881640777144,72
"Sheffield, Jordan",FF,106.74667952637049,134,107.5684734462295,190
"Sheffield, Jordan",SL,109.53490889732073,56,107.5684734462295,190
"Leone, Dominic",FF,107.51182710869071,55,107.51182710869071,55
"Greene, Hunter",FF,108.98171103261687,94,107.44047164927866,174
"Greene, Hunter",SL,105.62951537385628,80,107.44047164927866,174
"Pagán, Emilio",FF,107.43684148249031,66,107.43684148249031,66
"Morton, Charlie",CU,116.47163303808212,98,107.43389716750679,196
"Morton, Charlie",FF,98.39616129693147,98,107.43389716750679,196
"Minter, A.J.",FC,100.23026344890314,56,107.38813317061147,114
"Minter, A.J.",FF,114.29917979846779,58,107.38813317061147,114
"Ryan, Joe",FF,107.24704821025348,54,107.24704821025347,54
"Walker, Taijuan",FS,107.0701649047966,60,107.0701649047966,60
"Doval, Camilo",FC,98.26919442313668,91,106.92236584715585,275
"Doval, Camilo",SI,109.84848698414982,73,106.92236584715585,275
"Doval, Camilo",SL,112.09202131188722,111,106.92236584715585,275
"Snell, Blake",CU,104.49733543312642,52,106.88937732889856,385
"Snell, Blake",FF,108.83231989204023,239,106.88937732889856,385
"Snell, Blake",SL,103.27259973303994,94,106.88937732889856,385
"Buehler, Walker",FC,105.32656705190058,67,106.67580042880654,250
"Buehler, Walker",FF,107.16978204767376,183,106.67580042880654,250
"Peralta, Freddy",FF,106.48225031262233,51,106.48225031262233,51
"Stephenson, Robert",CU,98.6551593237256,85,106.40691839858079,801
"Stephenson, Robert",FF,109.94446328367161,406,106.40691839858079,801
"Stephenson, Robert",SL,103.89935806959956,310,106.40691839858079,801
"Okert, Steven",SL,105.9569040534334,64,105.9569040534334,64
"Vodnik, Victor",CH,110.59412549322384,130,105.84501074639836,765
"Vodnik, Victor",FF,104.94984378613091,493,105.84501074639836,765
"Vodnik, Victor",SL,104.60509803037402,142,105.84501074639836,765
"Pepiot, Ryan",CH,104.35404071615346,61,105.64872283404664,150
"Pepiot, Ryan",FF,106.53608922945658,89,105.64872283404664,150
"Hjelle, Sean",SI,105.62772465450787,50,105.62772465450787,50
"Sheehan, Emmet",FF,105.56629704957193,100,105.56629704957193,100
"Hoffman, Jeff",FF,110.14917898089932,63,105.29016603267578,117
"Hoffman, Jeff",SL,99.62131759308163,54,105.29016603267578,117
"Jackson, Luke",SL,105.10107693536743,72,105.10107693536743,72
"Darvish, Yu",FF,107.71587912690718,81,104.99586363163645,251
"Darvish, Yu",SL,101.31478673823143,102,104.99586363163645,251
"Darvish, Yu",ST,107.27746051414213,68,104.99586363163645,251
"Walker, Ryan",SI,102.90440500111987,53,104.81084113538749,112
"Walker, Ryan",SL,106.52340240854316,59,104.81084113538749,112
"Woodruff, Brandon",FF,104.80159619000723,57,104.80159619000723,57
"Bard, Daniel",CH,106.73537635974554,53,104.66886226483217,1657
"Bard, Daniel",FF,90.48862748972296,347,104.66886226483217,1657
"Bard, Daniel",SI,105.71164945680341,516,104.66886226483217,1657
"Bard, Daniel",SL,110.43531034698512,741,104.66886226483217,1657
"Cole, Gerrit",FF,104.66682294846281,61,104.66682294846281,61
"Fernández, Julian",FF,104.50626376983885,62,104.50626376983885,62
"Gilbreath, Lucas",FF,106.55636630063367,535,104.45937879058737,769
"Gilbreath, Lucas",SL,99.66498426975504,234,104.45937879058737,769
"Gallen, Zac",FC,101.65373754403656,50,104.25401873515263,450
"Gallen, Zac",FF,110.08724955538784,283,104.25401873515263,450
"Gallen, Zac",KC,91.25581136275294,117,104.25401873515263,450
"Houser, Adrian",SI,103.89051788867415,77,103.89051788867415,77
"Finnegan, Kyle",FF,103.8383497028591,65,103.8383497028591,65
"Johnson, Pierce",CU,104.8624147842646,304,103.59282671594057,527
"Johnson, Pierce",FF,101.86208782459305,223,103.59282671594057,527
"Stammen, Craig",SI,103.49695019164136,52,103.49695019164136,52
"McKenzie, Triston",FF,103.47334059724822,108,103.47334059724822,108
"Crismatt, Nabil",CH,103.47178199512294,99,103.47178199512294,99
"Steele, Justin",FF,103.28281299784234,52,103.28281299784234,52
"Estévez, Carlos",CH,103.96409373177643,192,103.24755601768132,1047
"Estévez, Carlos",FF,103.18124641233021,710,103.24755601768132,1047
"Estévez, Carlos",SL,102.62344966384,145,103.24755601768132,1047
"Hollowell, Gavin",FF,101.47920367552719,140,103.16051952012674,424
"Hollowell, Gavin",SI,104.38281394756567,138,103.16051952012674,424
"Hollowell, Gavin",ST,103.61742080271145,146,103.16051952012674,424
"Smith, Chad",SI,103.14166370864491,121,103.14166370864491,121
"Brebbia, John",FF,107.1552611930067,76,103.09057018682516,143
"Brebbia, John",SL,98.47987591115657,67,103.09057018682516,143
"Anderson, Chase",CH,113.67917358857348,215,102.74203555709543,884
"Anderson, Chase",FC,100.75425447144396,249,102.74203555709543,884
"Anderson, Chase",FF,99.20342579111974,249,102.74203555709543,884
"Anderson, Chase",SI,97.61258464342578,112,102.74203555709543,884
"Anderson, Chase",ST,95.9468685675765,59,102.74203555709543,884
"Kinley, Tyler",FF,95.10002626310771,580,102.61887359068095,1432
"Kinley, Tyler",SL,107.7373377338646,852,102.61887359068095,1432
"Urías, Julio",CH,95.86245302458006,107,102.52817477290277,476
"Urías, Julio",FF,99.56058074064113,247,102.52817477290277,476
"Urías, Julio",SV,114.38250225683029,122,102.52817477290277,476
"Ashcraft, Graham",FC,102.50616849356848,102,102.50616849356848,102
"Bowden, Ben",CH,89.16433450483316,62,102.47452629833491,302
"Bowden, Ben",FF,105.9129925116562,240,102.47452629833491,302
"Smyly, Drew",KC,102.39543289714311,73,102.39543289714311,73
"Sanchez, Aaron",SI,102.31372662240238,56,102.3137266224024,56
"Koch, Matt",FC,99.68557093276766,168,102.08648068109089,325
"Koch, Matt",FF,104.65560703598453,157,102.08648068109089,325
"Rogers, Taylor",SI,97.81029940876606,52,102.01276114408736,132
"Rogers, Taylor",ST,104.74436127204625,80,102.01276114408736,132
"Velasquez, Vince",FF,101.89813018640064,75,101.89813018640064,75
"Gausman, Kevin",FF,102.97670227420073,154,101.79270546463428,232
"Gausman, Kevin",FS,99.45507073805436,78,101.79270546463428,232
"Alexander, Scott",SI,101.7874043579714,53,101.78740435797138,53
"Criswell, Jeff",FF,100.87664435721834,99,101.73149789466156,186
"Criswell, Jeff",SL,102.70426226485557,87,101.73149789466156,186
