pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
CH,1,1,85.879,2.208,-10.724,1775.523,-0.565,-6.99,2.26,224.843,69.4,658
CH,1,2,85.217,5.202,-11.069,1763.733,-0.362,-6.572,1.996,190.85,68.5,742
CH,1,3,85.74,5.734,-10.83,1819.23,-0.369,-7.18,1.899,204.46,71.7,596
CH,1,4,83.16,7.522,-9.929,1713.998,-0.408,-8.336,1.683,180.683,63,526
CH,2,1,85.303,2.783,-10.166,1796.65,-0.561,-7.496,2.245,213.717,93,452
CH,2,2,85.348,4.848,-10.517,1743.328,-0.393,-6.763,2.072,189.108,93,546
CH,2,3,85.595,5.627,-10.268,1768.169,-0.404,-7.194,1.821,201.871,92.9,433
CH,2,4,83.099,7.144,-10.006,1775.728,-0.436,-8.2,1.866,169.215,93.2,368
CH,3,1,85.355,2.613,-10.172,1800.475,-0.557,-7.212,2.186,212.477,98.9,432
CH,3,2,85.324,4.625,-10.335,1723.917,-0.432,-6.953,2.044,188.969,99,456
CH,3,3,85.261,5.603,-10.114,1793.786,-0.431,-7.335,1.879,194.843,98.8,402
CH,3,4,82.789,7.829,-9.513,1749.435,-0.417,-8.573,1.83,169.562,99,336
CH,4,1,84.871,2.732,-10.499,1819.209,-0.586,-7.713,2.193,211.207,104.2,368
CH,4,2,85.256,4.809,-10.879,1731.427,-0.414,-6.807,2.038,185.047,104.2,532
CH,4,3,85.576,5.4,-10.325,1790.378,-0.439,-7.084,1.864,194.349,104.2,381
CH,4,4,82.703,7.722,-9.317,1725.669,-0.475,-8.73,1.835,164.582,104.3,438
CH,5,1,84.83,1.932,-10.503,1772.798,-0.6,-7.459,2.182,203.854,115.3,465
CH,5,2,85.05,4.812,-10.926,1721.411,-0.425,-6.945,2.018,178.676,114.8,577
CH,5,3,85.374,5.582,-10.326,1809.486,-0.439,-7.207,1.745,188.145,113.6,475
CH,5,4,82.088,8.427,-9.253,1688.055,-0.447,-8.912,1.843,152.779,115.3,748
CU,1,1,79.081,-6.203,9.95,2709.714,-1.262,-13.733,2.032,97.188,66.7,154
CU,1,2,78.599,-7.975,9.09,2563.332,-1.461,-13.738,1.953,127.961,70.4,283
CU,1,3,79.123,-8.09,6.874,2538.285,-1.614,-13.699,1.664,104.764,63.7,309
CU,1,4,79.589,-7.727,6.321,2507.797,-1.632,-13.484,1.571,83.253,67.1,384
CU,2,1,80.252,-6.157,9.334,2670.356,-1.206,-13.274,2.059,103.25,93.3,132
CU,2,2,79.435,-6.319,8.099,2551.662,-1.296,-12.631,2.046,137.313,93.1,198
CU,2,3,79.698,-6.879,7.222,2558.76,-1.468,-13.111,1.714,111.054,93.1,296
CU,2,4,79.17,-7.1,6.412,2494.04,-1.551,-13.631,1.683,96.67,93,324
CU,3,1,80.475,-5.766,9.016,2648.282,-1.167,-12.844,2.177,122.484,98.9,124
CU,3,2,78.896,-7.009,8.324,2541.767,-1.356,-13.312,1.946,140.199,99,206
CU,3,3,79.855,-6.441,6.538,2534.241,-1.447,-12.96,1.807,120.922,99,295
CU,3,4,79.46,-6.823,5.577,2484.986,-1.553,-13.533,1.696,94.241,99.1,290
CU,4,1,80.25,-5.652,9.501,2662.121,-1.148,-12.929,2.106,115.589,104,141
CU,4,2,79.633,-6.782,7.875,2559.313,-1.325,-12.423,2.001,148.665,104.1,233
