pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
CH,1,1,85.523,3.555,-14.612,1747.941,-0.566,-6.826,2.335,186.738,80.5,5585
CH,1,2,85.701,6.022,-13.481,1686.418,-0.489,-6.855,2.112,180.066,81.8,5337
CH,1,3,85.609,8.533,-12.727,1746.635,-0.316,-6.644,1.785,188.48,80.8,3048
CH,1,4,83.862,9.081,-12.323,1788.979,-0.389,-7.751,1.633,187.239,74.1,2422
CH,2,1,86.002,3.236,-15.266,1821.83,-0.62,-6.936,2.329,201.441,94.4,4363
CH,2,2,85.851,5.359,-14.075,1774.065,-0.597,-7.268,2,192.459,94.4,4477
CH,2,3,85.613,6.553,-13.573,1810.643,-0.516,-7.039,1.854,192.639,94.7,3437
CH,2,4,84.003,7.485,-12.717,1850.254,-0.533,-8.086,1.781,189.853,94.7,2365
CH,3,1,86.171,2.489,-15.441,1826.63,-0.688,-6.963,2.315,213.605,100,3001
CH,3,2,86.137,4.701,-14.702,1827.055,-0.674,-7.296,1.995,204.246,100,3433
CH,3,3,85.49,5.952,-14.255,1865.513,-0.643,-7.611,1.831,197.019,100.2,3462
CH,3,4,83.836,7.318,-13.353,1869.568,-0.582,-8.644,1.719,186.906,100.2,2953
CH,4,1,86.513,1.383,-15.075,1790.768,-0.769,-6.789,2.271,220.824,106,2368
CH,4,2,86.492,3.97,-14.802,1815.485,-0.757,-7.169,1.953,212.518,106,2745
CH,4,3,85.824,5.262,-14.761,1866.294,-0.742,-7.677,1.798,202.38,106.1,3406
CH,4,4,84.032,7.248,-13.737,1871.931,-0.65,-8.843,1.606,183.394,106.2,3719
CH,5,1,86.739,-0.766,-14.006,1727.262,-0.838,-6.368,2.132,229.68,120.3,2192
CH,5,2,86.772,3.431,-15.033,1805.492,-0.786,-6.841,1.803,210.554,116.9,1804
CH,5,3,85.915,5.002,-14.898,1833.751,-0.785,-7.859,1.567,199.394,117.5,2533
CH,5,4,83.814,7.408,-14.342,1826.891,-0.673,-8.931,1.406,184.821,119.2,4417
CU,1,1,78.745,-6.144,11.23,2515.763,-1.363,-12.831,2.286,132.628,77,951
CU,1,2,78.772,-8.191,9.386,2437.81,-1.683,-13.618,2.043,146.487,80.4,2266
CU,1,3,78.443,-9.737,8.683,2469.553,-1.847,-13.906,1.746,140.473,79.6,3015
CU,1,4,78.004,-11.235,7.458,2484.469,-2.128,-14.467,1.518,104.566,67.8,3556
CU,2,1,79.913,-5.436,11.193,2592.103,-1.29,-12.651,2.401,132.441,94.7,839
CU,2,2,79.847,-7.636,9.812,2506.694,-1.656,-13.391,2.028,114.409,94.5,2292
CU,2,3,79.294,-9.081,8.86,2496.976,-1.833,-13.493,1.798,131.566,94.4,2708
CU,2,4,79.196,-9.64,7.117,2495.682,-1.942,-13.573,1.549,106.643,94.5,2796
CU,3,1,80.149,-6.2,11.406,2656.101,-1.362,-12.699,2.349,114.964,100.2,804
CU,3,2,80.235,-8.047,9.927,2556.773,-1.7,-13.346,2.013,112.818,100.1,1917
CU,3,3,80.072,-9.269,9.017,2558.402,-1.881,-13.4,1.737,129.411,100.1,2203
CU,3,4,79.887,-9.181,7.259,2516.902,-1.919,-13.351,1.525,112.471,100.1,2573
CU,4,1,80.115,-7.476,12.779,2791.159,-1.455,-12.784,2.31,102.2,106.3,914
CU,4,2,80.202,-8.891,10.417,2605.176,-1.777,-13.61,1.976,118.237,106.1,1748
CU,4,3,80.272,-9.966,9.448,2602.637,-1.948,-13.61,1.664,140.406,106.1,2010
CU,4,4,80.144,-10.082,7.571,2572.702,-2.005,-13.368,1.458,117.445,106.1,2483
CU,5,1,79.301,-8.801,14.568,2919.797,-1.539,-13.178,2.14,84.699,120.8,1417
CU,5,2,79.573,-10.453,11.432,2683.358,-1.873,-14.188,1.851,122.441,119,1509
CU,5,3,78.965,-11.957,10.352,2686.257,-2.06,-14.71,1.424,184.578,120,1990
CU,5,4,79.558,-12.457,8.788,2670.074,-2.22,-13.856,1.458,134.035,122.6,3849
FC,1,1,88.381,8.926,-0.538,2253.216,0.006,-2.365,2.029,192.484,84.5,1559
FC,1,2,88.829,8.532,0.751,2282.816,-0.188,-2.936,2.105,174.009,82.3,1878
FC,1,3,89.795,9.964,1.559,2276.964,-0.228,-2.769,1.692,177.691,85,1881
FC,1,4,89.484,9.911,2.063,2319.281,-0.238,-2.493,1.431,177.606,78.1,2306
FC,2,1,88.756,8.009,0.763,2333.45,-0.153,-2.714,2.095,191.547,94.7,2653
FC,2,2,89.159,7.937,1.704,2332.003,-0.253,-2.94,2.058,183.324,94.8,4097
FC,2,3,89.112,8.067,2.545,2326.877,-0.306,-3.039,1.825,179.452,94.8,4150
FC,2,4,89.228,8.601,2.683,2359.9,-0.294,-2.766,1.648,176.84,94.7,3680
FC,3,1,89.301,7.571,1.461,2421.391,-0.209,-2.718,2.064,188.419,100.1,2717
FC,3,2,89.362,7.526,2.538,2401.18,-0.298,-2.892,2.019,180.837,100.1,4189
FC,3,3,89.332,7.173,3.284,2383.456,-0.368,-2.971,1.797,174.598,100.1,4921
FC,3,4,89.15,7.391,3.527,2421.751,-0.351,-2.777,1.642,173.48,100.2,4142
FC,4,1,89.537,7.642,1.71,2460.598,-0.165,-2.334,1.959,187.175,105.9,1834
FC,4,2,89.668,7.539,3.124,2453.355,-0.297,-2.577,1.925,176.726,105.7,2684
FC,4,3,90.211,7.535,3.673,2463.092,-0.362,-2.67,1.692,172.607,105.6,2832
FC,4,4,89.75,7.206,3.902,2475.938,-0.371,-2.555,1.496,171.311,105.9,3360
FC,5,1,89.664,7.856,1.673,2492.804,-0.092,-1.923,1.735,184.642,116.1,746
FC,5,2,90.286,8.094,3.254,2529.4,-0.313,-2.224,1.865,168.215,115.5,921
FC,5,3,93.735,10.504,3.54,2629.925,-0.157,-1.124,1.366,172.805,118.8,1516
FC,5,4,91.396,9.001,4.389,2549.565,-0.29,-1.578,1.107,168.956,117.1,1760
FF,1,1,93.108,12.122,-10.692,2210.052,0.087,0.215,2.287,191.445,81.3,10766
FF,1,2,93.79,13.708,-8.964,2220.399,0.058,0.059,2.029,199.076,83.8,10103
FF,1,3,93.432,14.644,-7.343,2204.997,0.072,0.189,1.697,194.674,81.4,12631
FF,1,4,93.136,15.688,-6.525,2212.64,0.077,0.33,1.418,189.686,79,16449
FF,2,1,93.463,13.071,-10.009,2273.871,0.113,0.237,2.248,195.953,94.5,8488
FF,2,2,94.047,14.552,-8.326,2281.025,0.109,0.248,1.998,199.34,94.5,9930
FF,2,3,93.82,15.298,-6.89,2267.313,0.095,0.284,1.758,194.09,94.5,10850
FF,2,4,93.806,16.24,-6.308,2271.214,0.101,0.348,1.561,188.354,94.4,11451
FF,3,1,93.823,13.751,-9.727,2306.581,0.134,0.359,2.254,198.07,100.2,7688
FF,3,2,94.365,15.308,-7.936,2314.779,0.149,0.472,1.976,199.672,100.2,9103
FF,3,3,94.298,15.949,-6.76,2298.739,0.126,0.504,1.793,193.667,100.1,9679
FF,3,4,94.339,16.936,-6.117,2300.646,0.126,0.479,1.579,188.345,100.1,9362
FF,4,1,94.292,14.441,-9.577,2343.811,0.155,0.496,2.325,199.56,106.2,8279
FF,4,2,94.831,16.117,-7.762,2345.492,0.178,0.7,1.991,200.085,106.1,9671
FF,4,3,94.854,16.852,-6.946,2326.887,0.162,0.718,1.815,194.916,106.2,10491
FF,4,4,94.87,17.674,-6.233,2328.315,0.159,0.655,1.56,189.047,106.1,9383
FF,5,1,94.761,15.35,-9.719,2373.302,0.204,0.825,2.401,201.262,119.2,8997
FF,5,2,95.637,17.518,-7.797,2384.823,0.231,1.144,2.005,198.938,119.4,10503
FF,5,3,95.694,18.195,-6.939,2370.04,0.226,1.248,1.778,192.407,120.5,14088
FF,5,4,95.502,18.901,-6.291,2378.006,0.222,1.047,1.472,189.132,120.9,12348
FS,1,1,85.314,2.52,-11.37,1428.333,-0.84,-7.704,2.457,233.245,75.8,1108
FS,1,2,86.804,4.427,-10.44,1289.742,-0.701,-7.571,2.087,238.661,71.3,1273
FS,1,3,85.764,6.45,-8.429,1155.691,-0.616,-7.341,1.69,213.286,71.9,888
FS,1,4,85.387,5.567,-8.241,1049.917,-0.61,-7.847,1.535,232.978,67.9,981
FS,2,1,85.549,3.177,-12.063,1483.867,-0.816,-7.41,2.373,224.687,94.6,948
FS,2,2,86.756,3.607,-11.447,1433.407,-0.714,-7.286,2.106,236.626,94.6,1219
FS,2,3,85.744,5.063,-9.333,1254.594,-0.743,-7.442,1.689,215.385,94.6,762
FS,2,4,85.359,4.569,-9.135,1145.075,-0.74,-7.707,1.492,231.225,94.5,639
FS,3,1,85.801,2.762,-12.384,1490.055,-0.869,-7.268,2.3,223.592,100.1,905
FS,3,2,86.962,2.175,-11.935,1492.694,-0.805,-7.032,2.138,237.967,100.2,1190
FS,3,3,86.183,4.202,-9.424,1294.246,-0.835,-7.314,1.674,215.597,100.2,885
FS,3,4,85.894,4.082,-9.301,1173.962,-0.784,-7.514,1.52,230.801,100.2,659
FS,4,1,86.243,1.692,-12.524,1480.597,-0.953,-7.24,2.201,230.173,106.2,939
FS,4,2,87.51,1.132,-11.651,1446.749,-0.896,-7.017,2.085,239.807,106.1,1368
FS,4,3,86.801,3.127,-9.801,1296.925,-0.931,-7.265,1.696,219.769,106.2,978
FS,4,4,86.102,3.096,-9.545,1155.239,-0.87,-7.424,1.525,231.003,106.3,781
FS,5,1,86.848,0.226,-11.822,1383.769,-1.069,-7.304,2.066,240.659,118.5,866
FS,5,2,87.933,0.498,-10.432,1256.599,-1.067,-7.448,1.934,245.122,122.8,1486
FS,5,3,88.104,2.194,-9.405,1259.601,-0.987,-6.967,1.604,223.637,121.9,1386
FS,5,4,87.094,2.139,-10,1150.32,-0.959,-7.127,1.436,234.709,121.4,1217
KC,1,1,79.189,-8.605,12.329,2488.937,-1.827,-13.209,2.27,63.154,81.6,286
KC,1,2,80.044,-10.822,7.942,2430.744,-2.047,-13.368,1.938,60.77,81.7,348
KC,1,3,80.522,-10.891,6.46,2500.157,-2.147,-13.531,1.74,73.39,75.1,764
KC,1,4,80.366,-9.134,4.038,2327.523,-1.934,-12.53,1.618,201.585,78.7,1015
KC,2,1,79.219,-8.739,12.744,2523.568,-1.802,-12.946,2.156,63.339,94.6,407
KC,2,2,81.091,-9.723,6.416,2420.893,-1.932,-12.526,1.968,77.677,94.4,328
KC,2,3,81.379,-9.379,6.217,2427.481,-1.968,-12.762,1.887,95.229,94.5,628
KC,2,4,80.928,-8.295,4.26,2294.183,-1.848,-12.272,1.652,185.533,94.6,824
KC,3,1,79.486,-9.147,12.278,2529.494,-1.811,-12.559,2.134,70.844,100.1,409
KC,3,2,82.112,-9.749,6.513,2477.759,-1.905,-11.802,1.911,79.943,100.3,348
KC,3,3,82.268,-10.155,6.902,2485.228,-2.028,-12.419,1.924,60.39,100.1,561
KC,3,4,82.232,-7.884,4.347,2291.533,-1.761,-11.737,1.599,147.653,100.3,732
KC,4,1,80.357,-9.126,11.916,2571.921,-1.804,-11.716,2.168,83.2,106.2,405
KC,4,2,83.304,-8.726,5.55,2491.689,-1.761,-10.417,2.111,110.258,106,399
KC,4,3,83.436,-10.442,6.875,2551.417,-2.042,-11.765,1.951,54.546,106.4,599
KC,4,4,83.372,-7.545,4.675,2320.486,-1.711,-11.175,1.561,126.913,106.2,970
KC,5,1,80.879,-10.026,12.7,2595.532,-1.941,-11.905,2.243,63.256,117.8,340
KC,5,2,84.257,-10.27,6.855,2637.104,-1.945,-10.291,2.116,66.508,120.1,396
KC,5,3,84.277,-11.238,8.039,2654.88,-2.074,-11.269,1.93,45.988,119.1,648
KC,5,4,84.284,-8.699,5.351,2434.207,-1.882,-10.942,1.381,110.428,118.7,887
SI,1,1,92.27,5.581,-14.691,2114.853,-0.143,0.268,2.169,204.113,80.5,7697
SI,1,2,93.166,8.111,-14.427,2128.144,-0.1,0.389,2.088,195.594,82.9,5504
SI,1,3,93.123,9.429,-12.904,2097.39,-0.048,0.543,1.788,195.702,82.1,5031
SI,1,4,93.238,11.114,-12.457,2102.172,-0.001,0.592,1.617,189.882,80.7,5476
SI,2,1,92.534,5.521,-15.145,2155.932,-0.166,0.047,2.137,204.932,94.5,6484
SI,2,2,93.142,8.133,-14.757,2155.696,-0.115,0.116,1.999,198.378,94.5,5601
SI,2,3,93.178,8.893,-13.984,2113.256,-0.095,0.213,1.859,194.78,94.5,4805
SI,2,4,93.178,10.441,-13.355,2121.621,-0.039,0.349,1.689,187.871,94.4,4227
SI,3,1,92.695,5.063,-15.43,2172.773,-0.202,0.078,2.156,209.023,100.1,5921
SI,3,2,93.395,8.037,-15.162,2177.386,-0.155,0.167,2.012,201.773,100.1,4847
SI,3,3,93.654,8.81,-14.653,2138.221,-0.132,0.185,1.866,194.775,100.1,3885
SI,3,4,93.569,9.909,-14.107,2132.021,-0.075,0.284,1.689,186.834,100.1,3436
SI,4,1,92.872,4.315,-15.967,2169.065,-0.238,0.131,2.21,208.264,106.2,6271
SI,4,2,93.814,7.933,-15.85,2187.957,-0.182,0.26,2.02,202.759,106.2,5221
SI,4,3,94.151,8.839,-15.462,2156.119,-0.139,0.361,1.893,193.774,106.1,3742
SI,4,4,93.972,9.705,-14.765,2140.839,-0.089,0.35,1.702,185.015,106,3160
SI,5,1,92.497,2.229,-16.129,2148.547,-0.267,0.164,2.401,204.056,121.2,8218
SI,5,2,94.362,8.111,-16.444,2196.456,-0.197,0.48,2.09,195.749,118.8,5755
SI,5,3,94.806,9.11,-15.907,2178.389,-0.148,0.622,1.954,187.968,119.4,4328
SI,5,4,94.952,9.458,-15.851,2157.555,-0.081,0.579,1.608,180.025,120.5,3429
